,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
2373,20.0,72,8.5,59.0,overcast,990.14,2,Autumn,1.0,inland,Rainy
2374,33.0,70,8.5,85.0,overcast,995.35,2,Summer,2.0,inland,Rainy
2375,29.0,49,8.5,9.0,partly cloudy,1022.98,5,Autumn,8.5,mountain,Sunny
2377,30.0,77,6.0,85.0,partly cloudy,1000.86,2,Summer,3.5,inland,Rainy
2380,34.0,68,14.0,98.0,cloudy,1079.72,11,Autumn,2.0,coastal,Rainy
2381,16.0,109,19.0,106.0,overcast,1009.16,10,Summer,1.5,inland,Rainy
2382,34.0,29,2.5,4.0,clear,1029.35,7,Winter,7.0,inland,Sunny
2383,32.0,60,7.5,14.0,clear,1011.97,7,Summer,6.0,coastal,Sunny
2384,11.0,88,15.5,82.0,overcast,992.52,0,Spring,3.0,mountain,Rainy
2386,28.0,66,18.5,94.0,partly cloudy,1004.71,2,Autumn,1.5,mountain,Rainy
2387,25.0,36,8.5,49.0,overcast,1112.3,6,Winter,4.5,inland,Rainy
2388,41.0,23,0.5,14.0,clear,1016.39,6,Summer,7.0,mountain,Sunny
2389,36.0,60,5.0,10.0,clear,1012.8,9,Spring,9.0,mountain,Sunny
2390,26.0,62,18.5,51.0,partly cloudy,1011.16,1,Spring,1.5,mountain,Rainy
2391,8.0,50,13.5,38.0,partly cloudy,897.71,11,Summer,3.0,mountain,Rainy
2394,9.0,76,11.0,75.0,cloudy,800.82,3,Summer,6.0,mountain,Sunny
2395,25.0,85,19.0,92.0,overcast,1014.18,1,Winter,4.0,mountain,Rainy
2399,68.0,83,15.5,96.0,partly cloudy,1022.32,14,Summer,1.0,inland,Sunny
2400,12.0,95,15.0,80.0,overcast,996.32,3,Winter,3.5,inland,Rainy
2402,24.0,82,8.5,56.0,partly cloudy,1004.92,1,Winter,1.5,coastal,Rainy
2403,33.0,88,8.5,88.0,overcast,1015.85,1,Autumn,4.5,inland,Rainy
2408,23.0,31,9.0,3.0,clear,1026.75,9,Summer,9.0,inland,Sunny
2412,22.0,98,11.0,96.0,overcast,1008.34,0,Autumn,4.0,inland,Rainy
2413,43.0,21,8.5,9.0,clear,1025.79,6,Spring,10.0,inland,Sunny
2415,20.0,35,9.5,5.0,partly cloudy,1018.59,10,Autumn,10.0,coastal,Sunny
2416,33.0,70,12.0,66.0,overcast,998.66,3,Summer,3.5,mountain,Rainy
2417,39.0,30,6.0,17.0,partly cloudy,1018.41,9,Spring,7.5,mountain,Sunny
2419,44.0,47,6.5,3.0,clear,1027.72,10,Summer,5.5,coastal,Sunny
2420,11.0,85,16.5,92.0,partly cloudy,998.54,2,Winter,5.0,mountain,Rainy
2421,65.0,81,7.5,77.0,clear,1010.83,11,Winter,7.5,coastal,Sunny
2422,23.0,69,10.5,84.0,overcast,993.73,1,Spring,4.5,inland,Rainy
2424,21.0,97,9.0,67.0,partly cloudy,1008.74,1,Summer,1.5,coastal,Rainy
2427,28.0,107,10.0,90.0,clear,1027.99,10,Spring,3.5,inland,Sunny
2428,32.0,75,11.5,84.0,overcast,994.01,2,Autumn,2.5,inland,Rainy
2430,31.0,83,8.5,99.0,partly cloudy,1003.78,2,Spring,2.5,mountain,Rainy
2432,10.0,60,10.5,88.0,partly cloudy,999.02,0,Autumn,4.5,coastal,Rainy
2433,11.0,88,7.0,74.0,overcast,1017.24,0,Spring,2.5,mountain,Rainy
2435,27.0,33,7.0,83.0,cloudy,1194.57,1,Winter,8.0,inland,Rainy
2436,48.0,50,10.0,93.0,partly cloudy,1123.33,8,Summer,16.5,coastal,Rainy
2438,10.0,90,11.0,78.0,partly cloudy,992.09,2,Autumn,4.5,inland,Rainy
2440,35.0,29,9.5,9.0,clear,1022.77,5,Winter,7.0,inland,Sunny
2442,46.0,49,7.5,21.0,partly cloudy,981.14,2,Winter,9.0,coastal,Rainy
2443,20.0,80,6.0,74.0,overcast,999.38,1,Winter,4.5,inland,Rainy
2450,42.0,58,2.0,5.0,clear,1029.39,6,Spring,6.5,mountain,Sunny
2451,10.0,85,17.0,59.0,overcast,1010.03,1,Summer,2.0,mountain,Rainy
2452,30.0,63,6.0,65.0,partly cloudy,1009.86,0,Winter,4.0,mountain,Rainy
2461,40.0,25,6.0,6.0,clear,1011.16,7,Spring,5.5,coastal,Sunny
2463,18.0,87,15.0,81.0,overcast,991.2,3,Winter,2.5,inland,Rainy
2467,13.0,93,11.0,93.0,overcast,1014.32,2,Autumn,3.0,coastal,Rainy
2473,28.0,67,14.5,83.0,partly cloudy,1016.48,3,Summer,1.5,inland,Rainy
2476,11.0,21,5.0,61.0,partly cloudy,1091.83,2,Autumn,1.5,mountain,Sunny
2478,10.0,79,16.0,83.0,overcast,992.81,1,Autumn,5.0,coastal,Rainy
2481,-16.0,64,0.0,48.0,partly cloudy,1163.02,1,Winter,14.0,coastal,Rainy
2485,11.0,94,32.0,79.0,overcast,1016.52,11,Spring,5.0,mountain,Rainy
2486,16.0,79,12.5,67.0,overcast,1019.59,1,Spring,4.5,inland,Rainy
2487,28.0,56,7.0,13.0,clear,1020.37,11,Winter,7.0,inland,Sunny
2488,31.0,46,3.5,14.0,clear,1014.89,11,Autumn,8.0,coastal,Sunny
2490,26.0,35,3.0,14.0,clear,1027.91,7,Autumn,5.5,mountain,Sunny
2491,38.0,68,8.5,18.0,clear,1015.9,5,Spring,5.5,inland,Sunny
2493,19.0,80,26.5,70.0,partly cloudy,1004.28,7,Summer,3.0,coastal,Rainy
2499,14.0,89,14.0,91.0,overcast,998.14,0,Winter,3.0,inland,Rainy
2501,22.0,79,5.5,62.0,overcast,1003.79,1,Summer,3.0,inland,Rainy
2503,34.0,38,6.5,6.0,partly cloudy,1023.54,9,Summer,10.0,mountain,Sunny
2504,44.0,24,5.0,37.0,overcast,889.89,1,Spring,1.5,coastal,Rainy
2506,17.0,97,18.5,68.0,overcast,1008.74,0,Winter,5.0,inland,Rainy
2507,15.0,82,14.5,91.0,overcast,993.37,1,Winter,1.0,inland,Rainy
2511,41.0,46,9.5,5.0,partly cloudy,1026.51,11,Summer,9.0,coastal,Sunny
2512,40.0,71,30.0,108.0,partly cloudy,1010.37,12,Autumn,1.0,mountain,Rainy
2514,54.0,84,10.0,93.0,overcast,1000.81,8,Winter,1.0,mountain,Rainy
2515,11.0,61,11.0,82.0,overcast,1018.31,0,Summer,1.5,inland,Rainy
2516,41.0,50,8.5,6.0,partly cloudy,1017.27,9,Spring,6.0,inland,Sunny
2519,31.0,82,16.0,80.0,partly cloudy,990.74,1,Autumn,1.5,mountain,Rainy
2520,24.0,68,14.0,86.0,overcast,1006.37,1,Autumn,4.0,coastal,Rainy
2527,33.0,79,9.5,57.0,overcast,991.05,3,Winter,2.0,inland,Rainy
2530,25.0,51,4.0,45.0,overcast,1155.04,3,Winter,11.5,coastal,Sunny
2533,25.0,81,8.5,94.0,partly cloudy,1001.63,1,Summer,2.5,coastal,Rainy
2537,49.0,78,32.5,107.0,overcast,1009.4,4,Summer,3.5,inland,Rainy
2538,33.0,47,0.5,6.0,clear,1019.45,5,Autumn,8.5,mountain,Sunny
2539,32.0,65,11.5,58.0,overcast,1006.27,3,Summer,3.5,inland,Rainy
2542,24.0,73,7.5,104.0,clear,1016.74,7,Spring,9.0,inland,Sunny
2543,33.0,63,6.0,59.0,partly cloudy,1017.11,0,Summer,5.0,coastal,Rainy
2547,30.0,61,9.0,73.0,overcast,1014.13,3,Spring,4.5,mountain,Rainy
2548,22.0,104,13.0,80.0,partly cloudy,991.94,3,Winter,3.0,inland,Rainy
2549,32.0,37,2.5,19.0,clear,1024.98,7,Spring,6.0,coastal,Sunny
2552,30.0,85,11.0,80.0,overcast,1005.48,1,Summer,1.0,mountain,Rainy
2554,44.0,51,15.0,71.0,partly cloudy,982.9,5,Autumn,2.5,inland,Rainy
2555,20.0,35,7.5,15.0,partly cloudy,1019.01,5,Winter,8.5,coastal,Sunny
2557,40.0,85,9.0,78.0,clear,1025.97,4,Spring,6.0,inland,Sunny
2558,21.0,61,6.5,10.0,clear,1016.28,8,Autumn,6.0,mountain,Sunny
2563,23.0,49,3.5,5.0,partly cloudy,1022.43,11,Autumn,9.5,inland,Sunny
2565,19.0,42,6.0,14.0,cloudy,822.25,4,Summer,17.5,mountain,Rainy
2567,12.0,60,11.5,83.0,overcast,990.22,2,Spring,2.5,inland,Rainy
2569,26.0,90,12.5,53.0,overcast,1005.02,1,Spring,5.0,mountain,Rainy
2571,17.0,70,10.5,85.0,clear,1029.28,1,Spring,10.0,mountain,Sunny
2572,15.0,95,18.0,83.0,overcast,1004.43,3,Winter,4.0,mountain,Rainy
2573,14.0,88,6.5,60.0,overcast,1016.66,0,Autumn,3.0,mountain,Rainy
2577,41.0,60,6.5,3.0,partly cloudy,1022.31,9,Winter,7.5,inland,Sunny
2579,30.0,79,10.0,65.0,partly cloudy,992.74,3,Summer,3.0,inland,Rainy
2589,44.0,58,4.5,8.0,clear,1013.19,9,Summer,9.5,mountain,Sunny
2591,20.0,61,5.0,5.0,partly cloudy,1018.31,8,Summer,7.5,mountain,Sunny
2592,30.0,61,9.5,6.0,clear,1025.53,8,Autumn,8.5,mountain,Sunny
2593,15.0,70,6.0,81.0,overcast,1012.15,2,Spring,3.5,inland,Rainy
2595,21.0,92,16.5,63.0,overcast,1009.79,2,Summer,3.5,coastal,Rainy
2596,11.0,85,19.0,60.0,overcast,1012.25,2,Winter,2.5,inland,Rainy
2600,44.0,47,2.5,8.0,clear,1026.72,6,Spring,7.5,mountain,Sunny
2602,20.0,59,10.0,16.0,partly cloudy,1015.12,10,Summer,9.5,mountain,Sunny
2603,23.0,68,19.5,73.0,overcast,1015.78,0,Autumn,4.5,coastal,Rainy
2604,33.0,85,7.0,90.0,overcast,1018.08,1,Spring,2.5,mountain,Rainy
2606,41.0,64,3.0,11.0,partly cloudy,1018.58,7,Autumn,8.0,inland,Sunny
2609,44.0,76,12.0,84.0,clear,1026.18,9,Autumn,9.5,coastal,Sunny
2613,23.0,37,4.0,16.0,partly cloudy,1017.64,7,Summer,7.0,coastal,Sunny
2618,42.0,53,7.5,19.0,clear,1029.77,9,Spring,5.5,inland,Sunny
2619,38.0,79,0.0,64.0,partly cloudy,885.51,14,Summer,8.5,coastal,Sunny
2620,31.0,94,1.5,108.0,partly cloudy,1011.26,9,Winter,2.0,inland,Sunny
2623,27.0,87,14.0,58.0,overcast,1016.41,0,Spring,2.5,inland,Rainy
2624,27.0,49,9.5,5.0,clear,1019.72,9,Winter,7.5,coastal,Sunny
2625,52.0,100,0.0,81.0,clear,1018.12,12,Summer,1.5,inland,Sunny
2627,31.0,34,12.0,92.0,cloudy,865.17,13,Winter,4.5,inland,Sunny
2629,25.0,46,7.0,5.0,clear,1025.97,5,Summer,8.5,inland,Sunny
2630,18.0,77,15.0,62.0,partly cloudy,1003.14,0,Spring,5.0,coastal,Rainy
2633,35.0,83,16.0,75.0,clear,1027.52,0,Autumn,6.0,inland,Sunny
2637,37.0,53,8.0,14.0,partly cloudy,1020.97,9,Autumn,9.0,coastal,Sunny
2640,31.0,105,32.5,82.0,overcast,1018.61,11,Autumn,1.0,coastal,Rainy
2641,29.0,22,6.5,16.0,clear,1010.62,10,Summer,7.5,inland,Sunny
2644,24.0,82,18.5,99.0,overcast,1007.66,2,Spring,2.0,mountain,Rainy
2645,21.0,64,9.5,98.0,overcast,1007.7,2,Spring,1.5,coastal,Rainy
2647,22.0,22,2.0,18.0,clear,1019.21,11,Spring,8.5,mountain,Sunny
2648,27.0,96,11.5,51.0,partly cloudy,1006.4,2,Spring,2.0,coastal,Rainy
2649,35.0,43,9.0,5.0,partly cloudy,1029.71,6,Spring,9.5,inland,Sunny
2650,14.0,82,14.0,66.0,overcast,993.11,2,Autumn,4.0,inland,Rainy
2652,7.0,51,9.0,31.0,cloudy,801.25,8,Summer,4.0,mountain,Sunny
2654,32.0,56,5.5,3.0,clear,1027.24,7,Autumn,7.5,coastal,Sunny
2655,-3.0,48,9.5,33.0,overcast,1088.77,9,Summer,4.5,inland,Rainy
2656,19.0,95,22.5,80.0,partly cloudy,1019.75,0,Autumn,1.5,coastal,Rainy
2657,30.0,68,15.0,58.0,partly cloudy,1005.8,1,Winter,2.0,coastal,Rainy
2661,36.0,46,0.5,18.0,clear,1015.45,5,Winter,9.0,mountain,Sunny
2665,44.0,60,2.0,16.0,partly cloudy,1014.04,5,Winter,10.0,coastal,Sunny
2671,29.0,93,6.5,78.0,overcast,1000.35,0,Winter,4.0,mountain,Rainy
2672,24.0,54,8.0,12.0,clear,1010.53,5,Spring,7.5,mountain,Sunny
2676,14.0,77,16.0,67.0,overcast,1010.22,2,Autumn,4.5,inland,Rainy
2680,17.0,65,6.0,98.0,overcast,1013.45,2,Spring,3.0,coastal,Rainy
2681,41.0,49,3.5,16.0,partly cloudy,1011.05,5,Winter,5.5,mountain,Sunny
2683,30.0,79,6.5,70.0,clear,1014.86,5,Summer,2.5,inland,Sunny
2684,21.0,55,8.0,10.0,clear,1018.15,8,Winter,7.5,inland,Sunny
2687,34.0,106,4.0,90.0,partly cloudy,1024.24,9,Spring,11.0,mountain,Sunny
2688,41.0,40,0.5,8.0,clear,1014.01,8,Winter,8.0,inland,Sunny
2689,17.0,66,4.5,91.0,cloudy,929.1,9,Winter,14.5,coastal,Sunny
2690,16.0,85,8.5,72.0,overcast,1018.96,1,Spring,3.0,coastal,Rainy
2692,40.0,25,1.5,16.0,clear,1020.02,5,Spring,9.0,inland,Sunny
2698,22.0,48,9.0,12.0,clear,1016.71,10,Winter,9.0,inland,Sunny
2700,22.0,62,18.5,65.0,overcast,1018.26,2,Winter,4.0,inland,Rainy
2705,14.0,95,17.5,62.0,partly cloudy,1014.31,2,Winter,5.0,mountain,Rainy
2707,28.0,77,16.5,50.0,partly cloudy,1004.64,2,Autumn,3.5,mountain,Rainy
2717,32.0,48,4.0,7.0,clear,1021.88,6,Autumn,10.0,inland,Sunny
2719,15.0,86,12.0,56.0,overcast,1004.64,2,Autumn,2.0,coastal,Rainy
2720,29.0,20,6.5,7.0,partly cloudy,1023.84,7,Autumn,9.5,inland,Sunny
2722,15.0,91,19.5,77.0,overcast,1017.27,1,Autumn,1.0,mountain,Rainy
2723,29.0,81,12.0,61.0,overcast,1006.71,1,Autumn,1.0,coastal,Rainy
2724,35.0,31,7.5,8.0,clear,1010.48,9,Summer,6.0,mountain,Sunny
2728,16.0,96,28.0,108.0,overcast,1006.49,0,Autumn,2.0,mountain,Rainy
2731,37.0,45,9.5,18.0,partly cloudy,1018.93,8,Autumn,7.5,mountain,Sunny
2732,12.0,71,19.5,77.0,overcast,999.29,1,Summer,5.0,coastal,Rainy
2734,28.0,54,9.5,1.0,clear,1024.68,8,Winter,9.0,mountain,Sunny
2736,41.0,25,5.5,19.0,clear,1021.71,7,Winter,7.0,mountain,Sunny
2737,-17.0,65,1.5,30.0,cloudy,822.07,7,Autumn,3.0,inland,Sunny
2738,18.0,63,6.0,68.0,partly cloudy,997.33,3,Autumn,4.0,mountain,Rainy
2740,21.0,84,16.5,69.0,overcast,1005.71,2,Autumn,2.5,mountain,Rainy
2742,21.0,66,8.0,52.0,overcast,1003.77,0,Summer,2.0,inland,Rainy
2743,29.0,50,6.5,19.0,clear,1014.49,9,Spring,9.0,inland,Sunny
2744,43.0,24,2.0,15.0,clear,1014.48,6,Autumn,9.5,inland,Sunny
2745,24.0,89,31.0,98.0,partly cloudy,1013.05,1,Autumn,5.0,mountain,Rainy
2749,42.0,23,9.5,11.0,partly cloudy,1017.11,7,Spring,9.5,mountain,Sunny
2751,59.0,107,19.0,92.0,overcast,1015.41,2,Autumn,1.5,inland,Rainy
2753,30.0,99,17.0,77.0,overcast,1013.33,0,Summer,2.0,coastal,Rainy
2756,70.0,106,14.0,87.0,overcast,1019.68,10,Summer,2.0,inland,Rainy
2762,30.0,73,6.0,78.0,overcast,991.57,3,Summer,4.0,inland,Rainy
2764,26.0,46,2.0,5.0,partly cloudy,1024.46,6,Summer,8.0,inland,Sunny
2765,64.0,109,13.5,90.0,clear,1019.1,2,Autumn,2.5,mountain,Sunny
2766,29.0,33,5.5,17.0,clear,1022.56,6,Summer,6.0,mountain,Sunny
2767,34.0,85,14.0,72.0,partly cloudy,996.49,3,Winter,4.0,inland,Rainy
2770,34.0,62,4.5,14.0,overcast,954.37,1,Winter,1.5,coastal,Sunny
2773,24.0,71,11.0,81.0,overcast,1018.76,3,Summer,4.5,mountain,Rainy
2774,34.0,92,46.5,72.0,overcast,991.43,14,Winter,1.5,inland,Rainy
2776,22.0,59,8.5,95.0,cloudy,845.46,11,Winter,7.0,mountain,Sunny
2778,34.0,80,12.5,51.0,overcast,1011.21,0,Summer,3.0,mountain,Rainy
2786,21.0,62,13.5,97.0,partly cloudy,1005.6,1,Spring,1.0,inland,Rainy
2795,31.0,94,28.0,109.0,overcast,1005.77,6,Autumn,3.5,mountain,Rainy
2797,18.0,102,15.0,70.0,partly cloudy,1006.23,10,Winter,0.5,inland,Rainy
2798,25.0,81,16.5,77.0,partly cloudy,1013.95,2,Autumn,5.0,mountain,Rainy
2800,35.0,39,3.5,4.0,clear,1012.37,6,Spring,9.5,coastal,Sunny
2801,18.0,91,7.5,85.0,partly cloudy,997.63,2,Spring,1.5,coastal,Rainy
2802,22.0,63,6.0,69.0,overcast,1015.98,2,Summer,2.0,mountain,Rainy
2804,16.0,102,20.0,107.0,overcast,1007.48,9,Winter,2.0,mountain,Rainy
2805,35.0,62,1.0,6.0,clear,1025.0,10,Spring,5.5,coastal,Sunny
2806,41.0,74,10.0,20.0,cloudy,841.45,1,Spring,16.0,mountain,Rainy
2807,16.0,69,9.5,79.0,overcast,991.96,1,Summer,1.5,coastal,Rainy
2809,32.0,39,0.0,13.0,clear,1010.58,8,Winter,7.5,mountain,Sunny
2810,23.0,63,13.5,70.0,partly cloudy,990.68,0,Winter,4.5,inland,Rainy
2812,16.0,109,39.0,87.0,partly cloudy,1011.38,11,Spring,2.0,inland,Rainy
2816,7.0,27,13.0,33.0,overcast,818.97,8,Summer,17.5,mountain,Sunny
2817,14.0,75,7.0,97.0,overcast,1017.34,3,Autumn,3.0,coastal,Rainy
2819,43.0,24,10.0,16.0,clear,1027.72,5,Summer,8.5,mountain,Sunny
2821,17.0,66,18.5,98.0,overcast,1013.12,1,Spring,4.0,coastal,Rainy
2825,21.0,97,13.5,77.0,overcast,1018.85,3,Spring,2.5,mountain,Rainy
2826,43.0,46,6.5,17.0,partly cloudy,1026.19,8,Summer,8.0,coastal,Sunny
2827,20.0,66,11.0,52.0,partly cloudy,1019.78,3,Spring,4.5,mountain,Rainy
2829,31.0,73,15.0,76.0,partly cloudy,1005.24,10,Spring,2.0,coastal,Rainy
2830,40.0,35,2.5,1.0,clear,1026.61,5,Winter,8.0,coastal,Sunny
2831,23.0,32,0.5,14.0,clear,1010.25,9,Spring,9.0,inland,Sunny
2832,31.0,62,8.0,97.0,overcast,1003.98,3,Spring,4.5,coastal,Rainy
2833,19.0,62,19.0,66.0,partly cloudy,1005.69,1,Spring,1.0,mountain,Rainy
2835,56.0,74,30.5,109.0,partly cloudy,1008.81,14,Autumn,1.5,mountain,Rainy
2836,10.0,73,17.5,66.0,overcast,1009.7,0,Autumn,4.0,mountain,Rainy
2838,42.0,27,8.0,16.0,partly cloudy,1022.78,10,Summer,10.0,inland,Sunny
2845,22.0,91,7.5,56.0,overcast,1009.16,1,Winter,2.0,coastal,Rainy
2849,29.0,63,0.0,16.0,clear,1017.29,5,Spring,8.0,coastal,Sunny
2850,19.0,73,7.0,89.0,overcast,1016.18,2,Summer,1.0,mountain,Rainy
2852,25.0,62,8.0,56.0,partly cloudy,1013.11,1,Spring,3.0,mountain,Rainy
2853,18.0,84,8.0,69.0,overcast,1005.98,2,Spring,4.0,mountain,Rainy
2855,31.0,64,9.0,52.0,partly cloudy,1004.08,2,Autumn,4.0,inland,Rainy
2858,39.0,54,1.0,12.0,partly cloudy,1018.49,7,Summer,7.5,coastal,Sunny
2859,30.0,62,10.5,93.0,overcast,1003.56,2,Autumn,3.0,inland,Rainy
2865,24.0,84,14.5,55.0,partly cloudy,1000.69,3,Winter,1.5,mountain,Rainy
2867,47.0,73,28.0,97.0,partly cloudy,1009.45,8,Autumn,1.5,mountain,Rainy
2868,13.0,109,45.0,73.0,overcast,992.31,2,Autumn,3.0,mountain,Rainy
2870,44.0,39,7.0,17.0,clear,1020.98,7,Spring,7.5,coastal,Sunny
2871,42.0,39,7.0,4.0,partly cloudy,1013.85,11,Spring,7.0,coastal,Sunny
2879,23.0,55,6.5,11.0,clear,1024.61,9,Autumn,7.0,inland,Sunny
2881,44.0,40,0.5,16.0,clear,1020.24,11,Spring,9.5,inland,Sunny
2886,31.0,69,10.0,16.0,clear,1027.38,8,Winter,10.0,mountain,Sunny
2888,34.0,56,0.5,13.0,partly cloudy,1015.77,6,Winter,7.5,inland,Sunny
2889,36.0,34,7.0,8.0,clear,1027.84,10,Summer,7.0,coastal,Sunny
2890,19.0,73,18.0,90.0,partly cloudy,1013.57,5,Autumn,4.5,mountain,Sunny
2892,14.0,76,16.5,96.0,partly cloudy,993.09,2,Winter,5.0,coastal,Rainy
2895,17.0,60,20.0,57.0,overcast,1000.27,1,Winter,3.5,inland,Rainy
2896,23.0,44,6.5,1.0,clear,1028.61,7,Winter,5.0,inland,Sunny
2897,35.0,68,6.0,8.0,clear,1021.45,10,Autumn,5.5,coastal,Sunny
2899,17.0,93,17.5,72.0,partly cloudy,992.79,2,Spring,4.5,coastal,Rainy
2903,49.0,51,3.0,13.0,cloudy,1071.61,14,Winter,18.0,inland,Rainy
2905,45.0,96,7.0,92.0,clear,1011.26,4,Summer,3.0,inland,Sunny
2906,27.0,72,5.5,56.0,cloudy,1091.74,4,Spring,11.0,inland,Rainy
2909,15.0,88,18.0,84.0,overcast,1012.23,1,Autumn,2.5,mountain,Rainy
2914,22.0,56,1.0,13.0,clear,1022.15,7,Spring,10.0,inland,Sunny
2916,31.0,40,8.5,8.0,clear,1018.13,10,Autumn,8.5,coastal,Sunny
2926,21.0,46,9.5,7.0,clear,1025.29,5,Winter,6.5,coastal,Sunny
2930,22.0,21,5.0,12.0,clear,1028.04,5,Autumn,7.5,coastal,Sunny
2932,31.0,75,8.0,80.0,partly cloudy,1026.17,9,Summer,8.0,mountain,Sunny
2934,33.0,37,6.5,12.0,clear,1016.71,11,Spring,9.5,inland,Sunny
2935,25.0,57,10.0,0.0,clear,1017.98,5,Winter,6.5,coastal,Sunny
2936,76.0,94,15.5,103.0,overcast,1010.78,1,Summer,4.0,coastal,Rainy
2937,27.0,85,9.0,76.0,overcast,1016.44,3,Spring,1.5,inland,Rainy
2938,38.0,45,1.5,10.0,partly cloudy,1010.28,10,Summer,5.0,coastal,Sunny
2939,39.0,68,7.0,14.0,clear,1010.04,10,Summer,10.0,coastal,Sunny
2943,44.0,33,3.5,13.0,partly cloudy,1026.66,10,Summer,9.5,inland,Sunny
2944,16.0,86,16.0,71.0,overcast,996.15,1,Winter,4.5,coastal,Rainy
2945,22.0,71,12.5,84.0,partly cloudy,990.67,0,Autumn,3.5,mountain,Rainy
2948,26.0,90,26.0,88.0,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
2949,30.0,66,4.0,9.0,partly cloudy,1020.44,5,Winter,10.0,mountain,Sunny
2950,26.0,20,8.5,7.0,clear,1016.15,6,Spring,8.0,coastal,Sunny
2951,35.0,67,9.5,5.0,clear,1029.56,7,Autumn,7.0,coastal,Sunny
2953,29.0,29,1.0,10.0,clear,1024.76,6,Spring,7.5,inland,Sunny
2954,33.0,25,6.0,1.0,partly cloudy,1011.52,11,Spring,5.5,mountain,Sunny
2955,38.0,36,6.0,2.0,clear,1027.34,9,Winter,7.5,mountain,Sunny
2957,26.0,65,18.5,58.0,overcast,1018.62,1,Summer,4.0,coastal,Rainy
2958,107.0,78,8.5,106.0,clear,1024.65,4,Winter,11.0,coastal,Sunny
2959,17.0,60,9.0,80.0,overcast,991.92,3,Winter,2.5,coastal,Rainy
2960,48.0,100,21.0,93.0,overcast,1002.43,12,Spring,2.0,coastal,Rainy
2961,32.0,67,2.5,3.0,clear,1014.58,8,Autumn,6.5,coastal,Sunny
2963,17.0,95,43.5,86.0,partly cloudy,1001.17,4,Winter,0.5,mountain,Rainy
2964,18.0,95,14.5,92.0,overcast,991.4,2,Autumn,2.5,inland,Rainy
2969,31.0,71,17.0,57.0,overcast,1002.76,1,Autumn,2.0,mountain,Rainy
2972,18.0,96,5.0,59.0,overcast,995.52,0,Spring,3.0,mountain,Rainy
2974,35.0,55,0.5,13.0,clear,1021.43,11,Spring,5.5,mountain,Sunny
2975,34.0,49,1.0,11.0,clear,1014.91,5,Spring,7.5,mountain,Sunny
2977,44.0,44,4.0,14.0,partly cloudy,1010.12,10,Winter,5.5,coastal,Sunny
2978,32.0,89,18.0,60.0,overcast,991.38,1,Autumn,2.5,inland,Rainy
2979,43.0,48,6.5,9.0,partly cloudy,1022.79,10,Summer,9.5,mountain,Sunny
2980,43.0,69,3.0,17.0,partly cloudy,1018.13,10,Spring,7.0,coastal,Sunny
2981,32.0,62,7.5,19.0,clear,1027.75,8,Autumn,6.0,inland,Sunny
2983,22.0,75,25.0,81.0,overcast,991.61,3,Winter,3.0,coastal,Rainy
2985,42.0,33,5.5,19.0,partly cloudy,1028.78,8,Spring,6.5,inland,Sunny
2989,33.0,31,9.5,56.0,partly cloudy,1062.27,0,Summer,16.5,coastal,Rainy
2992,24.0,52,7.0,6.0,clear,1025.06,7,Summer,6.0,coastal,Sunny
2993,26.0,25,6.0,2.0,clear,1022.75,9,Summer,9.5,inland,Sunny
2995,21.0,91,12.5,81.0,partly cloudy,1000.03,3,Spring,2.0,coastal,Rainy
2997,34.0,42,2.0,3.0,partly cloudy,1024.53,11,Summer,10.0,coastal,Sunny
2999,7.0,54,2.5,75.0,overcast,1177.22,3,Winter,7.5,mountain,Rainy
3004,34.0,21,6.5,3.0,partly cloudy,1014.34,7,Autumn,5.5,mountain,Sunny
3005,24.0,65,3.0,6.0,clear,1021.21,8,Autumn,8.0,coastal,Sunny
3006,32.0,73,9.0,77.0,overcast,998.17,3,Winter,2.5,coastal,Rainy
3008,38.0,57,5.0,9.0,clear,1013.37,11,Spring,5.0,inland,Sunny
3010,25.0,37,6.5,7.0,clear,1019.32,7,Autumn,6.5,coastal,Sunny
3012,13.0,98,9.0,55.0,overcast,1001.88,1,Summer,3.5,coastal,Rainy
3014,41.0,52,3.0,18.0,partly cloudy,1029.47,10,Summer,7.5,inland,Sunny
3017,30.0,87,10.5,85.0,partly cloudy,1013.72,0,Winter,2.5,mountain,Rainy
3018,26.0,44,5.5,10.0,partly cloudy,1019.43,11,Winter,7.0,coastal,Sunny
3019,12.0,60,14.5,80.0,overcast,1010.63,3,Summer,3.0,coastal,Rainy
3022,35.0,51,3.0,7.0,clear,1025.7,9,Autumn,9.0,inland,Sunny
3024,26.0,50,10.0,9.0,partly cloudy,1028.41,10,Summer,5.0,inland,Sunny
3025,42.0,41,9.0,9.0,clear,1015.33,11,Winter,8.5,coastal,Sunny
3026,22.0,94,13.0,97.0,overcast,1000.85,1,Spring,1.0,mountain,Rainy
3027,27.0,79,21.0,102.0,overcast,1012.82,12,Summer,2.5,inland,Rainy
3029,32.0,81,10.5,53.0,overcast,1014.18,3,Winter,4.0,inland,Rainy
3030,19.0,95,17.5,53.0,overcast,1001.25,2,Spring,3.0,mountain,Rainy
3031,28.0,48,5.0,4.0,partly cloudy,1026.54,10,Summer,8.5,mountain,Sunny
3034,26.0,54,2.5,3.0,clear,1014.16,11,Autumn,6.5,mountain,Sunny
